Key,Name,ballotpedia_id,Party,District,Status,Date Declared,Retiring,Seeking other Office,Running Senate,Cooke,Inside,Sabato
16,Mike Thompson,https://ballotpedia.org/Mike_Thompson_(California),Democratic,U.S. House California District 4,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
17,Matt Brock,https://ballotpedia.org/Matt_Brock,Republican,U.S. House California District 4,Candidacy Declared,"Sep 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
18,Mike Barkley,https://ballotpedia.org/Mike_Barkley,Democratic,U.S. House California District 5,Candidacy Declared,"Jun 28, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
19,Tom McClintock,https://ballotpedia.org/Tom_McClintock,Republican,U.S. House California District 5,Candidacy Declared,"Jun 28, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
20,Jason Kassel,https://ballotpedia.org/Jason_Kassel,Democratic,U.S. House California District 5,Candidacy Declared,"Jan 6, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
21,Robert Christian Richardson,https://ballotpedia.org/Robert_Christian_Richardson,Green,U.S. House California District 6,Candidacy Declared,"Sep 8, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
22,Omba Kipuke,https://ballotpedia.org/Omba_Kipuke,Democratic,U.S. House California District 6,Withdrew,"Jan 11, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
23,Ami Bera,https://ballotpedia.org/Ami_Bera,Democratic,U.S. House California District 6,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
24,Craig DeLuz,https://ballotpedia.org/Craig_DeLuz,Republican,U.S. House California District 6,Candidacy Declared,"Apr 18, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
25,Bret Daniels,https://ballotpedia.org/Bret_Daniels,Republican,U.S. House California District 6,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
26,Marshall Martin,https://ballotpedia.org/Marshall_Martin_(California),Republican,U.S. House California District 6,Candidacy Declared,"Jul 19, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
27,Raymond Riehle,https://ballotpedia.org/Raymond_Riehle,Republican,U.S. House California District 6,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
28,Chris Bish,https://ballotpedia.org/Chris_Bish,Republican,U.S. House California District 6,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
29,Max Semenenko,https://ballotpedia.org/Max_Semenenko,Republican,U.S. House California District 7,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
30,Doris Matsui,https://ballotpedia.org/Doris_Matsui,Democratic,U.S. House California District 7,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
31,Rudy Recile,https://ballotpedia.org/Rudy_Recile,Republican,U.S. House California District 8,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
32,John Garamendi,https://ballotpedia.org/John_Garamendi,Democratic,U.S. House California District 8,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
33,Kevin Lincoln II,https://ballotpedia.org/Kevin_Lincoln_II,Republican,U.S. House California District 9,Candidacy Declared,"Aug 29, 2023",No,No,No,Likely Democratic,Solid Democratic,Likely Democratic
34,Karena Feng,https://ballotpedia.org/Karena_Feng,Independent,U.S. House California District 9,Candidacy Declared,"Sep 8, 2023",No,No,No,Likely Democratic,Solid Democratic,Likely Democratic
35,Matt Dozier,https://ballotpedia.org/Matt_Dozier,Independent,U.S. House California District 9,Candidacy Declared,"Sep 7, 2023",No,No,No,Likely Democratic,Solid Democratic,Likely Democratic
36,Brett Dood,https://ballotpedia.org/Brett_Dood,Republican,U.S. House California District 9,Withdrew,"Feb 17, 2023",No,No,No,Likely Democratic,Solid Democratic,Likely Democratic
37,Josh Harder,https://ballotpedia.org/Josh_Harder,Democratic,U.S. House California District 9,Candidacy Declared,"Jul 14, 2023",No,No,No,Likely Democratic,Solid Democratic,Likely Democratic
38,John McBride,https://ballotpedia.org/John_McBride_(California),Republican,U.S. House California District 9,Candidacy Declared,"Aug 7, 2023",No,No,No,Likely Democratic,Solid Democratic,Likely Democratic
39,Musa Jalis,https://ballotpedia.org/Musa_Jalis,Republican,U.S. House California District 10,Candidacy Declared,"Jul 11, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
40,Nolan Chen,https://ballotpedia.org/Nolan_Chen,Republican,U.S. House California District 10,Candidacy Declared,"Sep 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
41,Mark DeSaulnier,https://ballotpedia.org/Mark_DeSaulnier,Democratic,U.S. House California District 10,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
42,Calvin Nguyen,https://ballotpedia.org/Calvin_Nguyen,Democratic,U.S. House California District 10,Candidacy Declared,"Sep 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
43,Katherine Piccinini,https://ballotpedia.org/Katherine_Piccinini,Republican,U.S. House California District 10,Candidacy Declared,"Sep 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
44,Elijah Lewis Blue,https://ballotpedia.org/Elijah_Lewis_Blue,Libertarian,U.S. House California District 11,Candidacy Declared,"Nov 7, 2022",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
45,Bruce Lou,https://ballotpedia.org/Bruce_Lou,Republican,U.S. House California District 11,Candidacy Declared,"Sep 5, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
46,Bianca Von Krieg,https://ballotpedia.org/Bianca_Von_Krieg,Democratic,U.S. House California District 11,Candidacy Declared,"Sep 6, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
47,Nancy Pelosi,https://ballotpedia.org/Nancy_Pelosi,Democratic,U.S. House California District 11,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
48,Andre Todd,https://ballotpedia.org/Andre_Todd,Democratic,U.S. House California District 12,Candidacy Declared,"Aug 31, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
49,John Marks,https://ballotpedia.org/John_Marks,Democratic,U.S. House California District 12,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
50,Jennifer Tran,https://ballotpedia.org/Jennifer_Tran,Democratic,U.S. House California District 12,Candidacy Declared,"Jun 2, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
51,Denard Ingram,https://ballotpedia.org/Denard_Ingram,Democratic,U.S. House California District 12,Candidacy Declared,"Mar 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
52,Lateefah Simon,https://ballotpedia.org/Lateefah_Simon,Democratic,U.S. House California District 12,Candidacy Declared,"Mar 3, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
53,Tony Daysog,https://ballotpedia.org/Tony_Daysog,Democratic,U.S. House California District 12,Candidacy Declared,"Jul 13, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
54,Tim Sanchez,https://ballotpedia.org/Tim_Sanchez,Democratic,U.S. House California District 12,Candidacy Declared,"Apr 26, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
55,Phil Arballo,https://ballotpedia.org/Phil_Arballo,Democratic,U.S. House California District 13,Candidacy Declared,"Feb 17, 2023",No,No,No,Toss-up,Toss-up,Toss-up
56,Adam Gray,https://ballotpedia.org/Adam_Gray,Democratic,U.S. House California District 13,Candidacy Declared,"Jul 19, 2023",No,No,No,Toss-up,Toss-up,Toss-up
57,Angelina Sigala,https://ballotpedia.org/Angelina_Sigala,Democratic,U.S. House California District 13,Candidacy Declared,"Jan 22, 2023",No,No,No,Toss-up,Toss-up,Toss-up
58,Diego Martinez,https://ballotpedia.org/Diego_Martinez_(California_congressional_candidate),Republican,U.S. House California District 13,Candidacy Declared,"Sep 7, 2023",No,No,No,Toss-up,Toss-up,Toss-up
59,John Duarte,https://ballotpedia.org/John_Duarte,Republican,U.S. House California District 13,Candidacy Declared,"Jul 14, 2023",No,No,No,Toss-up,Toss-up,Toss-up
60,Brad Boyd,https://ballotpedia.org/Brad_Boyd_(California),Democratic,U.S. House California District 13,Candidacy Declared,"Dec 21, 2022",No,No,No,Toss-up,Toss-up,Toss-up
61,Eric Swalwell,https://ballotpedia.org/Eric_Swalwell,Democratic,U.S. House California District 14,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
62,Steve Iyer,https://ballotpedia.org/Steve_Iyer,Republican,U.S. House California District 14,Candidacy Declared,"Sep 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
63,Luis Reynoso,https://ballotpedia.org/Luis_Reynoso,Republican,U.S. House California District 14,Candidacy Declared,"Sep 8, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
64,Vin Kruttiventi,https://ballotpedia.org/Vin_Kruttiventi,Republican,U.S. House California District 14,Candidacy Declared,"May 17, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
65,Joseph Grcar,https://ballotpedia.org/Joseph_Grcar,Republican,U.S. House California District 14,Candidacy Declared,"May 31, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
66,Alison Hayden,https://ballotpedia.org/Alison_Hayden,Republican,U.S. House California District 14,Candidacy Declared,"May 30, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
67,Kevin Mullin,https://ballotpedia.org/Kevin_Mullin_(California),Democratic,U.S. House California District 15,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
68,Anna Cheng Kramer,https://ballotpedia.org/Anna_Cheng_Kramer,Republican,U.S. House California District 15,Candidacy Declared,"Aug 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
69,Timothy Wong,https://ballotpedia.org/Timothy_Wong,Democratic,U.S. House California District 15,Candidacy Declared,"Sep 25, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
70,Rishi Kumar,https://ballotpedia.org/Rishi_Kumar,Democratic,U.S. House California District 16,Candidacy Declared,"Oct 1, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
71,Anna Eshoo,https://ballotpedia.org/Anna_Eshoo,Democratic,U.S. House California District 16,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
72,Ritesh Tandon,https://ballotpedia.org/Ritesh_Tandon,Democratic,U.S. House California District 17,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
73,Ro Khanna,https://ballotpedia.org/Ro_Khanna,Democratic,U.S. House California District 17,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
74,Lawrence Milan,https://ballotpedia.org/Lawrence_Milan,Democratic,U.S. House California District 18,Candidacy Declared,"Sep 27, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
75,Luele Kifle,https://ballotpedia.org/Luele_Kifle,Democratic,U.S. House California District 18,Candidacy Declared,"Mar 2, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
76,Peter Hernandez,https://ballotpedia.org/Peter_Hernandez,Republican,U.S. House California District 18,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
77,Zoe Lofgren,https://ballotpedia.org/Zoe_Lofgren,Democratic,U.S. House California District 18,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
78,Fepbrina Keivaulqe Autiameineire,https://ballotpedia.org/Fepbrina_Keivaulqe_Autiameineire,Independent,U.S. House California District 18,Candidacy Declared,"Sep 6, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
79,Dalila Epperson,https://ballotpedia.org/Dalila_Epperson,Republican,U.S. House California District 19,Withdrew,"Sep 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
80,Jimmy Panetta,https://ballotpedia.org/Jimmy_Panetta,Democratic,U.S. House California District 19,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
81,Kevin McCarthy,https://ballotpedia.org/Kevin_McCarthy_(California),Republican,U.S. House California District 20,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
82,Ben Dewell,https://ballotpedia.org/Ben_Dewell,Independent,U.S. House California District 20,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
83,Andy Morales,https://ballotpedia.org/Andy_Morales,Democratic,U.S. House California District 20,Candidacy Declared,"Feb 2, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
84,Johnathon Burrows,https://ballotpedia.org/Johnathon_Burrows,Democratic,U.S. House California District 20,Candidacy Declared,"Feb 9, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
85,Nathaniel Bruce,https://ballotpedia.org/Nathaniel_Bruce,Republican,U.S. House California District 20,Candidacy Declared,"May 17, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
86,Matthew Piatt,https://ballotpedia.org/Matthew_Piatt,Republican,U.S. House California District 20,Candidacy Declared,"Aug 22, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
87,Michael Maher,https://ballotpedia.org/Michael_Maher_(California),Republican,U.S. House California District 21,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
88,Jim Costa,https://ballotpedia.org/Jim_Costa,Democratic,U.S. House California District 21,Candidacy Declared,"Jul 19, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
89,Melissa Hurtado,https://ballotpedia.org/Melissa_Hurtado,Democratic,U.S. House California District 22,Candidacy Declared,"Aug 8, 2023",No,No,No,Lean Republican,Tilt Republican,Toss-up
90,David G. Valadao,https://ballotpedia.org/David_Valadao,Republican,U.S. House California District 22,Candidacy Declared,"Jul 6, 2023",No,No,No,Lean Republican,Tilt Republican,Toss-up
91,Rudy Salas,https://ballotpedia.org/Rudy_Salas,Democratic,U.S. House California District 22,Candidacy Declared,"Jul 19, 2023",No,No,No,Lean Republican,Tilt Republican,Toss-up
92,Chris Mathys,https://ballotpedia.org/Chris_Mathys,Republican,U.S. House California District 22,Candidacy Declared,"Oct 11, 2023",No,No,No,Lean Republican,Tilt Republican,Toss-up
93,Jay Obernolte,https://ballotpedia.org/Jay_Obernolte,Republican,U.S. House California District 23,Candidacy Declared,"Jul 19, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
94,Miguel Arceo,https://ballotpedia.org/Miguel_Arceo,Democratic,U.S. House California District 23,Candidacy Declared,"Mar 2, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
95,Matthew Favro,https://ballotpedia.org/Matthew_Favro,Democratic,U.S. House California District 23,Candidacy Declared,"Jan 16, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
96,Derek Marshall,https://ballotpedia.org/Derek_Marshall,Democratic,U.S. House California District 23,Candidacy Declared,"Jun 2, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
97,Thomas Cole,https://ballotpedia.org/Thomas_Cole,Republican,U.S. House California District 24,Candidacy Declared,"Jun 20, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
98,Salud Carbajal,https://ballotpedia.org/Salud_Carbajal,Democratic,U.S. House California District 24,Candidacy Declared,"Jul 19, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
99,Ceci Truman,https://ballotpedia.org/Ceci_Truman,Republican,U.S. House California District 25,Candidacy Declared,"Feb 28, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
100,Raul Ruiz,https://ballotpedia.org/Raul_Ruiz,Democratic,U.S. House California District 25,Candidacy Declared,"Jul 19, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
101,Ian Weeks,https://ballotpedia.org/Ian_Weeks,Republican,U.S. House California District 25,Candidacy Declared,"May 15, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
102,Miguel Chapa,https://ballotpedia.org/Miguel_Chapa,Republican,U.S. House California District 25,Candidacy Declared,"Sep 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
103,Julia Brownley,https://ballotpedia.org/Julia_Brownley,Democratic,U.S. House California District 26,Candidacy Declared,"Jul 19, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
104,Michael Koslow,https://ballotpedia.org/Michael_Koslow,Republican,U.S. House California District 26,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
105,Joseph Marotta,https://ballotpedia.org/Joseph_Marotta,Republican,U.S. House California District 26,Candidacy Declared,"Oct 6, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
106,George Whitesides,https://ballotpedia.org/George_Whitesides,Democratic,U.S. House California District 27,Candidacy Declared,"Mar 2, 2023",No,No,No,Toss-up,Toss-up,Toss-up
107,Francisco Carrillo Jr.,https://ballotpedia.org/Francisco_Carrillo,Democratic,U.S. House California District 27,Withdrew,"Mar 15, 2023",No,No,No,Toss-up,Toss-up,Toss-up
108,Mike Garcia,https://ballotpedia.org/Mike_Garcia,Republican,U.S. House California District 27,Candidacy Declared,"Jul 19, 2023",No,No,No,Toss-up,Toss-up,Toss-up
109,Kerry Lewis,https://ballotpedia.org/Kerry_Lewis,Republican,U.S. House California District 28,Withdrew,"Dec 6, 2022",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
110,Robert Lucero,https://ballotpedia.org/Robert_Lucero,Republican,U.S. House California District 28,Withdrew,"Jan 27, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
111,Judy Chu,https://ballotpedia.org/Judy_Chu,Democratic,U.S. House California District 28,Candidacy Declared,"Jun 13, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
112,Angélica María Dueñas,https://ballotpedia.org/Ang%C3%A9lica_Mar%C3%ADa_Due%C3%B1as,Democratic,U.S. House California District 29,Candidacy Declared,"Sep 6, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
113,Tony Cárdenas,https://ballotpedia.org/Tony_Cárdenas,Democratic,U.S. House California District 29,Candidacy Declared,"Jul 19, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
114,Francesco Arreaga,https://ballotpedia.org/Francesco_Arreaga,Democratic,U.S. House California District 30,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
115,Michael Huckabee,https://ballotpedia.org/Michael_Huckabee,Republican,U.S. House California District 30,Candidacy Declared,"Oct 4, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
116,Sepi Shyne,https://ballotpedia.org/Sepi_Shyne,Democratic,U.S. House California District 30,Candidacy Declared,"Mar 2, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
117,"Anthony Portantino, Jr.","https://ballotpedia.org/Anthony_Portantino,_Jr.",Democratic,U.S. House California District 30,Candidacy Declared,"Feb 6, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
118,Laura Friedman,https://ballotpedia.org/Laura_Friedman,Democratic,U.S. House California District 30,Candidacy Declared,"Jan 22, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
119,Mike Feuer,https://ballotpedia.org/Mike_Feuer,Democratic,U.S. House California District 30,Candidacy Declared,"Feb 6, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
120,Nick Melvoin,https://ballotpedia.org/Nick_Melvoin,Democratic,U.S. House California District 30,Candidacy Declared,"Jan 21, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
121,Maebe A. Girl,https://ballotpedia.org/Maebe_A._Girl,Democratic,U.S. House California District 30,Candidacy Declared,"Feb 3, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
122,Patrick Gipson,https://ballotpedia.org/Patrick_Gipson,Republican,U.S. House California District 30,Candidacy Declared,"Feb 22, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
123,Joshua Bocanegra,https://ballotpedia.org/Joshua_Bocanegra,Independent,U.S. House California District 30,Candidacy Declared,"Oct 25, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
124,Ben Savage,https://ballotpedia.org/Ben_Savage,Democratic,U.S. House California District 30,Candidacy Declared,"Jan 22, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
125,Eric Sawchuk,https://ballotpedia.org/Eric_Sawchuk_(California),Republican,U.S. House California District 30,Candidacy Declared,"Apr 28, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
126,Stephen Dunwoody,https://ballotpedia.org/Stephen_Dunwoody,Democratic,U.S. House California District 30,Candidacy Declared,"May 25, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
127,Sarah Idan,https://ballotpedia.org/Sarah_Idan,Democratic,U.S. House California District 30,Candidacy Declared,"May 30, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
128,Jirair Ratevosian,https://ballotpedia.org/Jirair_Ratevosian,Democratic,U.S. House California District 30,Candidacy Declared,"Jun 2, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
129,Alex Balekian,https://ballotpedia.org/Alex_Balekian,Republican,U.S. House California District 30,Candidacy Declared,"Jun 8, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
130,J. Emilio Martinez,https://ballotpedia.org/J._Emilio_Martinez,Republican,U.S. House California District 30,Candidacy Declared,"Aug 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
131,Mike Castellanos,https://ballotpedia.org/Mike_Castellanos,Democratic,U.S. House California District 30,Candidacy Declared,"Sep 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
132,Drew Britton,https://ballotpedia.org/Drew_Britton,Democratic,U.S. House California District 30,Candidacy Declared,"Sep 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
133,Courtney Najera,https://ballotpedia.org/Courtney_Najera,Democratic,U.S. House California District 30,Candidacy Declared,"Oct 11, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
134,Mary Ann Lutz,https://ballotpedia.org/Mary_Ann_Lutz,Democratic,U.S. House California District 31,Candidacy Declared,"Jun 22, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
135,Bob Archuleta,https://ballotpedia.org/Bob_Archuleta,Democratic,U.S. House California District 31,Candidacy Declared,"Apr 19, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
136,Susan Rubio,https://ballotpedia.org/Susan_Rubio,Democratic,U.S. House California District 31,Candidacy Declared,"Aug 3, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
137,Gil Cisneros,https://ballotpedia.org/Gil_Cisneros,Democratic,U.S. House California District 31,Candidacy Declared,"Sep 17, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
138,Daniel Martinez,"https://ballotpedia.org/Daniel_Martinez_(Randall_County_Commissioner_Precinct_2,_Texas,_candidate_2022)",Republican,U.S. House California District 31,Candidacy Declared,"Jul 17, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
139,Erskine Levi,https://ballotpedia.org/Erskine_Levi,American Solidarity Party,U.S. House California District 31,Candidacy Declared,"Oct 16, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
140,Ricardo Vazques,https://ballotpedia.org/Ricardo_Vazques,Democratic,U.S. House California District 31,Candidacy Declared,"Jun 12, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
141,Elvira Moreno,https://ballotpedia.org/Elvira_Moreno,Republican,U.S. House California District 31,Candidacy Declared,"Oct 16, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
142,Gregory Hafif,https://ballotpedia.org/Gregory_Hafif,Democratic,U.S. House California District 31,Candidacy Declared,"Aug 25, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
143,Brad Sherman,https://ballotpedia.org/Brad_Sherman_(California),Democratic,U.S. House California District 32,Candidacy Declared,"Jul 19, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
